Sent Value 859.5, 2023-05-30 19:15:34.811721
Received Value 869.6, 2023-05-30 19:15:34.815498
Sent Value 869.6, 2023-05-30 19:15:34.816193
Received Value 869.6, 2023-05-30 19:15:34.820315
Sent Value 879.7, 2023-05-30 19:15:34.824210
Received Value 889.8, 2023-05-30 19:15:34.827986
Sent Value 889.8, 2023-05-30 19:15:34.828658
Received Value 889.8, 2023-05-30 19:15:34.831835
Sent Value 899.9, 2023-05-30 19:15:34.836267
Received Value 910.0, 2023-05-30 19:15:34.840041
Sent Value 910.0, 2023-05-30 19:15:34.844546
Received Value 920.1, 2023-05-30 19:15:34.850414
Sent Value 920.1, 2023-05-30 19:15:34.854126
Received Value 930.2, 2023-05-30 19:15:34.860477
Sent Value 930.2, 2023-05-30 19:15:34.861953
Received Value 940.3, 2023-05-30 19:15:34.864962
Sent Value 940.3, 2023-05-30 19:15:34.865453
Received Value 940.3, 2023-05-30 19:15:34.869719
Sent Value 950.4, 2023-05-30 19:15:34.873802
Received Value 960.5, 2023-05-30 19:15:34.877710
Sent Value 960.5, 2023-05-30 19:15:34.881653
Received Value 970.6, 2023-05-30 19:15:34.885451
Sent Value 970.6, 2023-05-30 19:15:34.886096
Received Value 970.6, 2023-05-30 19:15:34.889214
Sent Value 980.7, 2023-05-30 19:15:34.894023
Received Value 990.8, 2023-05-30 19:15:34.897982
Sent Value 990.8, 2023-05-30 19:15:34.902233
Received Value 1000.9, 2023-05-30 19:15:34.906028

Average time between sending and receiving in seconds: 0.00371600
